idx	true	pred	margin	text_head
78567	1	2	3.8951062609735656	great book it was a good book and i enjoyed the perspective a good read for anyone doing social reserach i would reccomend it
61782	1	2	3.7468049193691684	excellent this is a great book martha beck is a wonderful writer with clear insight a must read for anyone seeking their true path in life
41664	1	2	3.347541002363755	still the best after using this gps for several years i have never had a problem with it i did note that the professional reviewers were still rating this as one of the best units out there and a great buy for the money accuracy is excellent as is battery life anyone can use this as the directions are well done and the unit is well designed for easy use a real keeper
79797	1	2	3.1368396378756054	great book it s a great book all my friends and i use it i would recommend it to all my yentas out there it s 5x the size of anything else
53888	1	2	2.960150357110542	great poker book well written funny educational a must read for anyone who wants to risk a dime at poker loved it
31668	1	2	2.8088085278255894	solid an avid ge fan will enjoy this cd as other reviewers noted d light is highly underrated as it rocks with typical goldenearring intensity the lyrics are generally right on and both singers are pretty damm good the variety of songs is quite interesting goldenearring was a progresive band so dont expect to hear the son of radar love on this cd it takes a couple of listens to get the feel of the cd buts its worth it the most underrated band in rock history who is still alive and well today 200
4463	1	2	2.7461996301547322	bw wm mystery this was an excellent mystery and fine love story very interesting and very worth the cost and time
81379	1	2	2.735300979376723	my side of the mountain i think the book my side of the mountain was a very good book and i enjoyed it very much the book had alot of action and frightining situations the book was a very good survival story and i recommend it to anyone who likes survival stories
89450	1	2	2.731564720099284	good value service i bought this product through amazon rather than directly from the company because i had never done business with the company before the lamps arrived very promptly well packaged and easy easy to assemble i am very satisfied with the product and would recommend it to others as long as the buyer realizes you can only use a 25 watt bulb you probably can read by it but it makes an excellent mood accessory lamp
16814	1	2	2.669490558325871	hello frisco hello this is a wonderful movie i love this movie if you like mucicals you ve got to have this one 1943 but its truly a classic i saw it on t v and i just had to have it and you will too
46897	1	2	2.6546353744263227	mighty mite electric pencil sharpener love the green color shapens well easy to use easy to empty and it holds up to kids low price and fast delivery glad we got it
90087	1	2	2.6394007529741295	best scifi i ve aver seen simply perfect acting many dynamics and personalities with great script dialoguethe special effects are some of the best i ve ever seenstory is going into third season totally addictivei cant say enough good things about the seriesyou wont go wrong with this even if your are remotely into scifi
84213	1	2	2.610989967720886	relaxing i hadn t heard a few of the songs in a while so naturally it brought back memories in all i m glad i purchased the cd it is a good addition to my ole skool collection
51593	1	2	2.589053788587134	outstanding five stars excellent instructions for applique with pictures to demonstrate their words basic applique primer your resource book
89928	1	2	2.576194089284053	great for you great for gift too i absolutely love oil of olay i use it and it really works well especially the eye formula i also make certain that my mom gets it for every gift giving occassion along with her other goodies this makes for a thoughtful gift just by itself as well
950	1	2	2.5461881228742467	it is a good read it s the only one for cheese lovers cheese is good and so is this lovely lovely book
