idx	true	pred	margin	text_head
60924	2	1	-3.0757555465668256	don t buy extremely poor quality recording the film and sofia loren s performance are 5 stars the video quality is 0 stars i expected less than perfect quality based on the previous reviews but thought i would take a chance for 4 99 sorry i did i was unprepared for just how bad this is faces are just blurs it doesn t track right in my vcr it was poorly recorded in ep mode what a waste this film deserves better don t buy this the madacy music group inc manufactured and distributed this video and 
87226	2	1	-2.92322224142839	men are a waste of life you guys who are reviewing this and saying womens wrestling is pointless is a real disgrace wrestling is not just a men sport ok get it through your empty heads you guys are giving reviews saying its only good for the t a which is absoultely disgusting and you need to realize that maybe if the wwe wasnt sexist towards women and didnt hire them based on their looks theyd have beeter female wrestlers
20956	2	1	-2.560184685860203	bounce in my house this bounce machine is horible it is not good at all do not buy it unless you want to
17197	2	1	-2.398428329394855	awful bad graphics movements don t waste your money my husband and i convinced our 12 yr old to spend her hard earned money on this thinking that with shrek how could we go wrong what a waste the movements are rather difficult to master the screen movements made me have motion sickness my 12 yr old doesn t even bother trying to play it anymore i could only play for about 10 minutes or so without getting nauseated we will definitely have to make it up to her and get her a game that she likes we w
10425	2	1	-2.3526873724035844	poor severs used at amazonian for streaming movies the movies was great until the movie stoped for no apprearent reason tried to re start and then it would start and stop frequently i painfully made it through the rest of the movie i have fios running at 15 megs dowload although my roku player is wirelessly connected i have never had trouble with streaming movies from netflix or dish tv this is not the first time this has happended with amazon my suggestion is that find out netflex s process for
21007	2	1	-2.3226931760195115	small be careful of what version you buy i did not realize this book came in a mini version not what i wanted should have checked the dimensions before i purchased the mini book has a list price of 5 99 on the book which is a lot less than what i paid update 06 02 2012 changing my rating from 2 starts to 5 stars after all it was my mistake the book i received was a mini mini version like really small at the time i had contacted the seller booksco wa about receiving the wrong product and they gav
10750	2	1	-2.304172968856434	too over rated what is the point of an little elf to try to save the world how can a scrony elf destroy so many enemies it just ain t possible this game is way too over rated just like final fintasy 7 this is the worst game i ve ever played
73167	2	1	-2.2538375107831494	horrible 3d blu ray this is a funny movie and was the 2nd 3d blu ray purchase for me i was very disappointed with the picture in 3d its very blurry i have a 55 inch samsung led 7000 series and a 3d blu ray player and the movie looked blurry it looks just as bad on the ps3 there were some good parts shot in 3d but the majority of the movie will give you a headache i like the movie its just not worth the crappy 3d effects buy resident evil after life for a good 3d movie
57320	2	1	-2.2458509092986128	its not great it is very hard and confusing gets boring after a while get something newer like a ds or dsi pokemon game
26693	2	1	-2.214278237266143	it s not jaws obviously obviously this movie is not jaws to hold it to those standards is setting the viewer up for immediate disappointment but if you take the movie for what it is a two hour and forty minute shark drama epic then you just might enjoy it as much as i did some of the characters are laughable and some of them are even kind of likable some of the acting is terrible and some of it is at least okay and for cg sharks these aren t the worst out there and the lengthiness of it i for on
9600	2	1	-2.2085706202051596	come on this game is horrible it is so boring everybody loves lord of the rings it is the stupiest thing ever its all about a stupid ring you are probably going to spend hundreds of dollars on lotr products that your probably never going to use after all the lotr movies are out and everone forgets about lotr you are probably going to say my reveiw was not helpful if you are a lotr freak you should rent it
97644	2	1	-2.1660708199846987	hillarious load of claptrap this book is a joke people honestly before you go buying this sublimely hilarious lampoon of cultish new age child raising remember that it is not a guide for raising children with trouble learning it is a joke and a very clever subtle one at that sorry to blow the whole joke people but seriously working parents whose kids have learning disabilities shouldn t go wasting their hard earned money on a joke at their expense the indigo children is good for a laugh but pare
58530	2	1	-2.1563312866213162	product description is not accurate i will preface this by saying that none of the items below make it a bad product i think it will be fine it s just that the description is inaccurate 1 the backboard is acrylic not polycarbonate 2 the frame is steel not aluminum both of these things may be important to buyers because polycarbonate is a superior material to acrylic and aluminum obviously won t rust over time as the painted steel frame may i am disappointed that it was not what it was represente
92642	2	1	-2.133874684522541	guess what is missing i agree with the 2 previous reviewers about the musical quality of this performance but supraphon could not be bothered with any notes to accompany this dvd further there are no subtitles in my opinion that is a major failing i am sure that janacek spent a lot of creativity and time marrying his music to the words not speaking czech i have no rational idea as to what is being sung emotionally and from the latin headings one can guess but surely it would not have been diffic
83796	2	1	-2.1280235088035364	nan random house failed to edit this book there are numerous misspellimgs and nonsensical phrases that i would forgive in a self published novel for which i paid 0 99 this is neither
37322	2	1	-2.1123434949847524	you get what you pay for i bought that stupid elmo seat and it doesn t work all of the other seats elevate the kid so that the pee if you have a boy goes flying across the room this is the only ergonomically designed seat i ve found that allows the body to sink low and it s worth the ridiculous price in the end don t waste your time or money on anything else
64125	2	1	-2.111771193819584	don t buy used i bought this used which was perhaps a mistake by the time it got to me the dairy fairy had long since drowned and her wings just didn t taste the same after that
85195	2	1	-2.1074423192788148	if you like the genre it is okay i must confess that i was kind of a disappointed with this one i was hoping for something more substantial story wise it is average for this kind of movie not bad i just think that the character development could have been better and not so much fx
23408	2	1	-2.100591775418676	item in picture is not what i recieved i recieved 3 diagonal cutters but they are not the ones in the picture i was definately disapointed so i called the seller and made them aware of the situation i sent them a picture of the item i recieved they sent me an email stating i recieved what is in the picture someone is surely confused in their whse now to be fair the part in the description is what i recieved however the picture is what i used as a compass to order by they have the correct part in
60638	2	1	-2.0881937198643747	wrong item received package said raccoon in garbage can but the puppet was the folkmanis baby raccoon hand puppet no exchange waiting for return and repurchase hoping for a better outcome
74065	2	1	-2.0610050600254812	book and html versions are very different i bought the html edition thinking that i d save a tree and burn pixels instead but the html is not the book it is a very short essay if you re expecting the same content as what s on paper be warned
65301	2	1	-2.055236710403246	ron g while actually looking for an audio cassette version of the bible i came across juju s comment it was pretty clear to me that this poor sad person just cruises the internet looking for an opportuinity to bash christianity certainly he wasn t really interested in the bible maybe if he or she really tried to understand and allow jesus christ in to his or her life then the need to spend time so worthlessly out of boredom would not be so great and life would be more fulfilling
44443	2	1	-2.023168424628487	recommended to me with great reviews michael kors leg shine sold here for 32 00 approx is horrible don t purchase it no shine and not worth money recommendations avon sleek slim leg oil silicone spray kiss my face sun spray and shimmer lotions all said to be better than kor s overpriced product if you shave legs first expoliate second they shin much better go for these about products good luck
32131	2	1	-1.9919770302065134	kindle edition lacks footnote links this book has numerous footnotes which are presented by chapter at the end of the book it s unfortunate that on the kindle edition the footnotes are not hot there is no link from the chapter text to the footnote text so if you want to refer to a footnote it s actually harder on the kindle than it would be in hardcopy that s a missed opportunity to take advantage of the kindle platform and a bit of a disappointment for folks like me who actually do read footnot
60303	2	1	-1.981372619351865	not what i was looking for this book is more about showing the border terrier and i was looking more for a book with general information about the breed
7003	2	1	-1.9787961592992496	wonderfully awful bad acting terrible production quality barely legal male lead and every cliche in the book not a spoof like i m gonna get you sucka just everything wrong coming together and ending up entertaining
14097	2	1	-1.9594021441659113	not so non technical this book has some good information but i found it to be more technical than i preferred
74460	2	1	-1.9516704143874426	cr the item shipped intact didn t need it since sewing machine came with a case so returned it did not open the box to view item
43673	2	1	-1.924298763444138	point of light was looking for point of light and found this problem is i did not see that it was a cassette and i wanted a cd have since purchased the cd reviewed elsewhere
99352	2	1	-1.896713179347305	you can t skip to the end written by the author of a very long engagement yet resembling it only by the superb story telling this book elicited gasps of you re kidding i don t believe it how could she oh no oh no oh no what a horrible mistake i can t believe it from nearly each chapter beauty is dangerous
5395	2	1	-1.8929731914471057	not much longegivity this one worked fine but crapped out after 18 months warranty only good for 1 year at 62 a unit it s questionable whether i broke even on electricity savings a disappointment updated review i feel obligated to update my rating from two stars to four the company s support was outstanding and i bought a replacement i must admit the the first unit worked perfectly until it malfunctioned and my new unit is just humming along i m a satisfied camper
24369	2	1	-1.89178155467461	not as bad as i expected it to be i thought this was going to be terrible and i was happily suprised it wasn t it was actually hilarous in parts again not something i expected especially at the sale price it won t hurt to watch this one
12466	2	1	-1.8891095480971412	bad customer service i own this clock the sensing unit that hangs outside quit working after about 18 months i contacted la crosse and received an email stating a new replacement unit would be mailed to me no unit was ever sent while i loved the clock and it s precise recording of temp and time it s useless to me without the outside sensor unit i plan on replacing the clock with another similar functioning clock from another manufacturer
99810	2	1	-1.8719769360448284	good book bad editing i read the whole book i found it to be a good introduction to mpls and tag switching concepts it does not go into extreme detail so it probably is not a good reference for someone building mpls into a product unfortunately the editing seems a bit rushed i found problems with descriptions and diagrams in almost every chapter i am not talking about picky grammatical errors but actual problems in the text and or the diagrams that would be confusing or just didn t match with wh
59302	2	1	-1.8244013860463797	interesting but there are better books this book did not easily catch my attention in the beginning however after a few chapters i finally caught on even though it may be rather easy to understand it s not one to put you on the edge of your chair i am not saying that it is a bad book but i have read better ones
87860	2	1	-1.819234300311089	not for ipod classic in spite of belkin s website i bought one of these gizmos on the basis of belkin s inclusion of this product in the list of those compatible with the new ipod classic the recording and external power functions work nothing else does the button and led don t work and it won t sync through the mini usb connector it shouldn t be difficult for belkin to fix this problem but for now don t buy this item for use with an ipod classic
63931	2	1	-1.8182666060277122	don t sell your product without it s parts i beleive i am one of many who are upset with the makers of this product i ve had my braun coffee maker for a while now and have been searching everywhere to find a filter for it no one has it and no one provides it anymore so i turned to the internet thinking i would have some luck there i was wrong why would you sell a product and not offer the parts anymore is there another filter i can use instead please let me know
23481	2	1	-1.809102143103864	great shampoo but the bottle was not full the shampoo itself was good the shipping speed okay but the bottle was not full some of the product was missing i double checked the product level in this size bottle at a retail location and it was where one would expect it to be my estimates are that i was shorted at least 3 4 oz so either this bottle was not filled to capacity as it should have been at the factory or product went missing somewhere along the line with the amount product that was missin
81650	2	1	-1.808791934830038	angelina jolie nekkid nuf said i have not even seen this movie in its entirety hope i spelled that right but an angelina jolie movie with lesbian scenes sorry hard to type with one hand
81037	2	1	-1.8073356681759836	great product too pricey i have purchased this item three or four times prior to this order when i ordred the product i was under the impression i would be getting two units as i paid the same price for two in the past i only received one unit very disappointed and disatisfied
78743	2	1	-1.7920161413493043	refutation of misleading and ill tempered customer review as the author of this book i am protesting for the second time about the innacurate and misleading so called customer review of the work as i mentiuones some months ago the reviewer who accuses me of poor research is damnably poor himself i quoted from graham hancock s sign and the seal yet he accuses me of misquoting claiming that he had read harrison s book what the hell is he talking about unfriendly reviews i can stomach after all de 
10617	2	1	-1.7518407215357343	it s brilliant it s a parody it s a horrible book the five stars are for the concept which was to write a terrible formulaic book they succeeded
